process_name,domain,global_label,local_label,step_no,step_name,office,same_in_both,version,sub_ref,sub_text,step_note
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,1.0,Receive Booking from Customer,back,FALSE,global,a,Receive the booking by email or web — written confirmation only. A completed SLI form is required unless it's an eBooking via iCON or Quote & Book.,
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,1.0,Receive Booking from Customer,back,FALSE,global,b,Validate the booking to ensure no mandatory information is missing.,
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,1.0,Receive Booking from Customer,back,FALSE,global,c,Validate prohibited and restricted ocean cargoes into CW1.,
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,1.0,Receive Booking from Customer,back,FALSE,local,a,Validate that no mandatory information is missing from the booking.,
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,1.0,Receive Booking from Customer,back,FALSE,local,b,Validate the commodity — check for potential DG or special handling.,
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,1.0,Receive Booking from Customer,back,FALSE,local,c,"If mandatory information is missing, contact the customer to get the data.",
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,2.0,Validate Customer Code in CW1,back,TRUE,global,a,"Check the Local Client, Shipper or Consignee CW1 Org Code exists and verify screening status is CLR.",
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,2.0,Validate Customer Code in CW1,back,TRUE,global,b,"If the code does not exist, coordinate with the GBS MDM team to create it following the Organisation SOP, then screen.",
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,4.0,Send Booking Acknowledgement,back,FALSE,local,a,Send a booking acknowledgement to the customer after receiving the SLI or email.,
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,7.0,Validate Sailing Schedules,back,FALSE,global,a,"Use Published Sailing Schedules, customer SOP and requirements, and overseas office input to select the best routing.",The local sheet has nothing written for this step.
Booking Order,Ocean Freight · Origin Operations,Global SOP v86.0,Local Ops Sheet,7.0,Validate Sailing Schedules,back,FALSE,global,b,Carrier checklist: customer SOP carrier list; Cargo Ready Date / Target ETD; valid quotation or rates; space allocation and sailing options; cost per option.,
